ID,RECHNERBEZ,DCELINK_ID,SCHWEISSGERAETE_NAME,ORTSNUMMER,WIP,BOLZEN_ID,KAROSSERIE_ID,AUSGANGS_ID,SCHWEISSPROGRAMM_ID,SCHWEISSSTROM_IST,SCHWEISSZEIT_IST,UL_HAUPTSTROM_IST,UL_VORSTROM_IST,HUBHOEHE_IST,HUBHOEHE_SOLL,ABFALLZEIT_IST,ABFALLZEIT_SOLL,DURCHDRINGUNG_IST,SCHWEISSENERGIE_IST
2131552,M050UB92BRT2,459543,15 UB92 130SWB221,8814,1,22620019,17446774,1,16,750,30.20000076,24.60000038,22.79999924,1.50999999,1.5,9.199999809,9,-0.66900003,566
2131649,M050UB92BRT2,459540,15 UB92 130SWB121,8813,1,22610057,17446774,1,39,750,29.89999962,24.60000038,23.79999924,1.49000001,1.5,10.30000019,10.30000019,-1.003000021,564
2131553,M050UB92BRT2,459547,15 UB92 130SWB221,8814,1,22620024,17446774,1,17,750,30,26.79999924,23.60000038,1.50999999,1.5,9,9,-0.510999978,609
2131554,M050UB92BRT2,459552,15 UB92 130SWB221,8814,1,22620025,17446774,2,18,1000,44,25.60000038,19.79999924,0.790000021,0.800000012,8.600000381,8.5,-0.861999989,1144
2131650,M050UB92BRT2,459545,15 UB92 130SWB121,8813,1,22610022,17446774,1,14,750,30,26.60000038,23.79999924,1.49000001,1.5,9,9,-0.493000001,604
2131973,M050UB92BRT2,459541,15 UB92 130SWB321,8815,1,22610825,17446774,1,39,750,29.70000076,25.20000076,23.79999924,1.50999999,1.5,9.300000191,9.600000381,-0.722000003,574
2131757,M050UB92BRT2,459544,15 UB92 130SWB421,8816,1,22610154,17446774,1,12,720,30.20000076,25.20000076,22.79999924,1.49000001,1.5,10.19999981,10,-1.037999988,550
2131651,M050UB92BRT2,459550,15 UB92 130SWB121,8813,1,22610036,17446774,1,23,750,30.5,25,23,1.49000001,1.5,10.30000019,9.800000191,-0.949999988,577
2131974,M050UB92BRT2,459546,15 UB92 130SWB321,8815,1,22610426,17446774,1,28,750,29.5,24.60000038,23.20000076,1.49000001,1.5,10,10.5,-1.003000021,557
2131758,M050UB92BRT2,459549,15 UB92 130SWB421,8816,1,22610330,17446774,1,30,750,29.70000076,24.60000038,23.60000038,1.50999999,1.5,10,10.30000019,-0.967999995,561
2131652,M050UB92BRT2,459555,15 UB92 130SWB121,8813,1,22610238,17446774,1,95,750,30.20000076,24.20000076,23.60000038,1.49000001,1.5,10.5,10.30000019,-1.10800004,557
2131865,M050UB92BRT2,459539,15 UB92 130SWB521,8817,1,22610890,17446774,1,432,750,29.89999962,26.39999962,23.60000038,1.690000057,1.700000048,10,10,-0.651000023,598
2131975,M050UB92BRT2,459551,15 UB92 130SWB321,8815,1,22610079,17446774,1,19,750,28.70000076,25.20000076,24,1.49000001,1.5,8.5,9.800000191,-1.021000028,555
2131759,M050UB92BRT2,459554,15 UB92 130SWB421,8816,1,22610328,17446774,1,28,750,30.20000076,25.79999924,23.20000076,1.49000001,1.5,10.60000038,10.39999962,-0.986000001,589
2131555,M050UB92BRT2,459564,15 UB92 130SWB221,8814,1,22620003,17446774,2,10,900,40.20000076,26.20000076,19.39999962,0.810000002,0.800000012,9,8.800000191,-1.072999954,956
2131653,M050UB92BRT2,459559,15 UB92 130SWB121,8813,1,22610132,17446774,1,55,750,30.70000076,24.79999924,23.60000038,1.49000001,1.5,10.69999981,9.899999619,-1.003999949,579
2131866,M050UB92BRT2,459542,15 UB92 130SWB521,8817,1,22610071,17446774,1,16,750,29.70000076,26.79999924,23,1.700000048,1.700000048,9.199999809,9.5,-0.68599999,606
2131760,M050UB92BRT2,459557,15 UB92 130SWB421,8816,1,22610833,17446774,1,51,750,29.70000076,24.60000038,21.39999962,1.50999999,1.5,9.300000191,9.600000381,-0.66900003,552
2131556,M050UB92BRT2,459569,15 UB92 130SWB221,8814,1,22620001,17446774,1,8,750,31.20000076,26,24,1.49000001,1.5,10.89999962,9.600000381,-0.949999988,610
2131654,M050UB92BRT2,459563,15 UB92 130SWB121,8813,1,22610237,17446774,1,87,750,28.70000076,24.60000038,23.20000076,1.49000001,1.5,8.800000191,10.10000038,-0.898000002,542
2131976,M050UB92BRT2,459558,15 UB92 130SWB321,8815,1,22610877,17446774,2,48,900,40.20000076,25.20000076,19.79999924,0.790000021,0.800000012,8.5,8.300000191,-1.021000028,920
2131557,M050UB92BRT2,459570,15 UB92 130SWB221,8814,1,22620004,17446774,2,11,900,39.70000076,25.60000038,19.79999924,0.800000012,0.800000012,8.5,8.800000191,-0.898000002,924
2131867,M050UB92BRT2,459548,15 UB92 130SWB521,8817,1,22610072,17446774,1,17,750,29.70000076,26,22.79999924,1.679999948,1.700000048,9.699999809,10,-0.634000003,590
2131761,M050UB92BRT2,459560,15 UB92 130SWB421,8816,1,22610157,17446774,1,13,750,30.5,25.20000076,22.39999962,1.50999999,1.5,9.699999809,9.199999809,-0.68599999,578
2131655,M050UB92BRT2,459567,15 UB92 130SWB121,8813,1,22610095,17446774,1,47,750,30.20000076,25.60000038,23.39999962,1.49000001,1.5,10.19999981,10,-0.931999981,584
2131558,M050UB92BRT2,459576,15 UB92 130SWB221,8814,1,22620005,17446774,2,12,900,39.90000153,25.60000038,19.60000038,0.790000021,0.800000012,9.199999809,9.199999809,-1.108999968,931
2131868,M050UB92BRT2,459553,15 UB92 130SWB521,8817,1,22610390,17446774,1,42,750,30.20000076,26.20000076,22.79999924,1.679999948,1.700000048,9.5,9.300000191,-0.527999997,598
2131977,M050UB92BRT2,459562,15 UB92 130SWB321,8815,1,22610875,17446774,2,46,900,39.5,25,19.39999962,0.790000021,0.800000012,8.399999619,8.899999619,-0.879000008,901
2131762,M050UB92BRT2,459568,15 UB92 130SWB421,8816,1,22610195,17446774,1,15,750,30.5,25.60000038,23.39999962,1.50999999,1.5,10.5,10,-0.967000008,591
